owner/login,name,stargazers/totalCount,issues/totalCount,closedIssues/totalCount,openIssues/totalCount,questions/totalCount,answers/totalCount
DefinitelyTyped,DefinitelyTyped,27980,6524,3286,3238,0,0
Leaflet,Leaflet,27830,4281,3885,396,0,0
Homebrew,legacy-homebrew,27801,17038,17038,0,0,0
Solido,awesome-flutter,27762,0,0,0,0,0
shadowsocks,ShadowsocksX-NG,27732,1190,982,208,0,0
jashkenas,backbone,27641,2384,2329,55,0,0
lukehoban,es6features,27573,55,36,19,0,0
ariya,phantomjs,27565,4709,4679,30,0,0
photonstorm,phaser,27252,3260,3064,196,0,0
php,php-src,27222,0,0,0,0,0
isocpp,CppCoreGuidelines,27196,799,637,162,0,0
jondot,awesome-react-native,27147,52,33,19,0,0
dypsilon,frontend-dev-bookmarks,27125,93,77,16,0,0
iamkun,dayjs,27114,399,337,62,0,0
nuxt,nuxt.js,27086,5117,4830,287,0,0
joshbuchea,HEAD,27078,82,71,11,0,0
JuliaLang,julia,27064,17734,14836,2898,0,0
Blankj,AndroidUtilCode,27013,1066,1054,12,0,0
tldr-pages,tldr,26945,514,445,69,0,0
nestjs,nest,26841,2578,2507,71,1,10
0voice,interview_internal_reference,26761,36,18,18,0,0
huggingface,transformers,26691,2936,2490,446,0,0
certbot,certbot,26684,4376,3865,511,0,0
codepath,android_guides,26677,362,211,151,0,0
RocketChat,Rocket.Chat,26644,10701,8493,2208,0,0
tastejs,todomvc,26563,734,618,116,0,0
caolan,async,26526,1049,1045,4,0,0
bilibili,ijkplayer,26438,4831,2413,2418,0,0
quilljs,quill,26437,2587,1807,780,0,0
xitu,gold-miner,26235,4380,4339,41,0,0
preactjs,preact,26214,1182,1083,99,0,0
open-guides,og-aws,26164,199,79,120,0,0
floodsung,Deep-Learning-Papers-Reading-Roadmap,26161,41,3,38,0,0
grpc,grpc,26090,8510,8135,375,0,0
apache,spark,26048,0,0,0,0,0
bayandin,awesome-awesomeness,26039,55,49,6,0,0
alex,what-happens-when,26037,100,19,81,0,0
ethereum,go-ethereum,25913,4841,4583,258,0,0
binhnguyennus,awesome-scalability,25909,0,0,0,0,0
Kong,kong,25714,2948,2626,322,0,0
proxyee-down-org,proxyee-down,25618,0,0,0,0,0
kenwheeler,slick,25518,3309,2320,989,0,1
fffaraz,awesome-cpp,25481,450,149,301,0,0
react-boilerplate,react-boilerplate,25433,1787,1762,25,0,0
vuetifyjs,vuetify,25374,8388,7318,1070,0,0
jashkenas,underscore,25325,1357,1324,33,0,0
zxing,zxing,25305,996,988,8,0,0
JakeWharton,butterknife,25273,1122,1029,93,0,0
NervJS,taro,25265,5201,4329,872,0,0
vuejs,vue-cli,25263,4235,3763,472,0,0
shengxinjing,programmer-job-blacklist,25047,290,169,121,0,0
ant-design,ant-design-pro,24978,5397,5309,88,0,0
aosabook,500lines,24958,61,36,25,0,0
pandas-dev,pandas,24903,17940,14586,3354,0,0
getsentry,sentry,24856,4033,3106,927,0,0
apachecn,AiLearning,24853,88,55,33,0,0
strapi,strapi,24733,3468,3235,233,0,0
faif,python-patterns,24705,61,52,9,0,0
square,leakcanary,24696,1131,1094,37,0,0
akullpp,awesome-java,24636,96,95,1,0,0
crossoverJie,JCSprout,24620,87,59,28,0,0
danielmiessler,SecLists,24605,106,98,8,0,0
request,request,24556,2145,2006,139,0,0
Tencent,weui,24540,608,583,25,0,0
nylas,nylas-mail,24528,3421,2416,1005,0,0
wg,wrk,24525,310,222,88,0,0
dylanaraps,pure-bash-bible,24483,47,23,24,0,0
localstack,localstack,24461,1518,1281,237,0,0
select2,select2,24429,4461,4420,41,0,0
Modernizr,Modernizr,24354,1417,1261,156,0,0
google,styleguide,24338,226,77,149,0,0
johnpapa,angular-styleguide,24197,423,361,62,0,0
madewithml,lessons,24146,18,18,0,0,0
yangshun,front-end-interview-handbook,24122,0,0,0,0,0
carbon-app,carbon,24121,428,408,20,0,0
FiloSottile,mkcert,24071,170,133,37,0,0
TheAlgorithms,Java,24006,176,135,41,0,0
houshanren,hangzhou_house_knowledge,23943,0,0,0,0,0
nvie,gitflow,23912,335,114,221,0,0
fzaninotto,Faker,23897,542,486,56,0,0
astaxie,beego,23884,2702,1909,793,0,0
ngosang,trackerslist,23852,214,211,3,0,0
iina,iina,23748,2325,1458,867,0,0
vuejs,vuex,23743,991,959,32,0,0
standard,standard,23718,1075,966,109,1,14
ZuzooVn,machine-learning-for-software-engineers,23715,15,3,12,0,0
Alvin9999,new-pac,23683,877,690,187,0,0
iikira,BaiduPCS-Go,23656,925,793,132,0,0
nolimits4web,swiper,23624,3170,2996,174,0,0
ziadoz,awesome-php,23583,107,106,1,0,0
rethinkdb,rethinkdb,23582,6251,4854,1397,0,0
github,fetch,23563,498,488,10,0,0
Marak,faker.js,23547,428,241,187,0,0
pingcap,tidb,23513,4527,3088,1439,0,0
netty,netty,23508,5067,4691,376,0,0
jakevdp,PythonDataScienceHandbook,23476,114,46,68,0,0
herrbischoff,awesome-macos-command-line,23391,0,0,0,0,0
dkhamsing,open-source-ios-apps,23353,203,202,1,0,0
angular,angular-cli,23337,11707,11070,637,0,0
mathiasbynens,dotfiles,23273,354,228,126,0,0
jiahaog,nativefier,23245,784,610,174,0,0
iview,iview,23243,5425,4432,993,0,0
facebookresearch,Detectron,23233,883,603,280,0,0
symfony,symfony,23229,14009,13252,757,0,0
composer,composer,23028,5946,5590,356,0,0
freeCodeCamp,devdocs,23009,818,719,99,0,0
google-research,bert,22964,925,297,628,0,0
CodeHubApp,CodeHub,22887,606,392,214,0,0
tailwindcss,tailwindcss,22882,831,733,98,0,0
fxsjy,jieba,22872,691,186,505,0,0
raywenderlich,swift-algorithm-club,22858,184,174,10,0,0
istio,istio,22774,9670,8633,1037,0,0
danielgindi,Charts,22746,3626,3128,498,0,0
IanLunn,Hover,22742,96,79,17,0,0
lerna,lerna,22686,1777,1396,381,0,0
SDWebImage,SDWebImage,22661,1896,1874,22,0,0
postcss,postcss,22605,645,627,18,0,0
transloadit,uppy,22587,1110,1017,93,0,0
pi-hole,pi-hole,22581,1804,1682,122,0,0
serhii-londar,open-source-mac-os-apps,22550,127,113,14,0,0
brillout,awesome-react-components,22530,36,36,0,0,0
alacritty,alacritty,22519,2508,2148,360,0,0
greenrobot,EventBus,22474,520,432,88,0,0
GitbookIO,gitbook,22408,0,0,0,0,0
markedjs,marked,22349,986,907,79,0,0
lib-pku,libpku,22343,32,30,2,0,0
date-fns,date-fns,22302,909,755,154,0,0
gitlabhq,gitlabhq,22233,0,0,0,0,0
harvesthq,chosen,22187,2325,2105,220,1,2
skylot,jadx,22157,679,561,118,0,0
ityouknow,spring-boot-examples,22104,96,94,2,0,0
CSSEGISandData,COVID-19,22088,2075,768,1307,0,0
jaredpalmer,formik,22033,1604,1087,517,0,0
3b1b,manim,21962,590,388,202,0,0
hashicorp,terraform,21938,14672,13377,1295,0,0
cheeriojs,cheerio,21908,937,721,216,0,0
sequelize,sequelize,21880,8571,7772,799,0,0
ReactiveX,rxjs,21879,2558,2236,322,0,0
webtorrent,webtorrent,21841,1315,1164,151,0,0
mobxjs,mobx,21822,1506,1490,16,0,0
minio,minio,21806,4058,3968,90,0,0
geekcompany,ResumeSample,21678,0,0,0,0,0
