Dogfalo,materialize,37508,5122,4542,580
google,guava,37277,3116,2485,631
aymericdamien,TensorFlow-Examples,37268,208,61,147
scrapy,scrapy,37094,2189,1749,440
Hack-with-Github,Awesome-Hacking,37071,0,0,0
square,okhttp,37027,3071,3009,62
spring-projects,spring-framework,36966,19476,18605,871
enaqx,awesome-react,36873,63,60,3
FreeCodeCampChina,freecodecamp.cn,36827,585,442,143
nwjs,nw.js,36811,6654,5900,754
neovim,neovim,36607,5513,4650,863
babel,babel,36524,7095,6469,626
prettier,prettier,36475,4199,3579,620
android,architecture-samples,36375,381,272,109
minimaxir,big-list-of-naughty-strings,35936,72,27,45
serverless,serverless,35851,4362,3588,774
fatedier,frp,35768,1431,1385,46
sindresorhus,awesome-nodejs,35730,89,89,0
ryanmcdermott,clean-code-javascript,35703,91,61,30
impress,impress.js,35680,436,392,44
parcel-bundler,parcel,35680,2977,2425,552
square,retrofit,35581,2365,2275,90
juliangarnier,anime,35367,534,437,97
nodejs,node-v0.x-archive,35163,6383,5848,535
ripienaar,free-for-dev,35151,0,0,0
x64dbg,x64dbg,35067,1796,1409,387
grafana,grafana,34945,15924,13360,2564
ziishaned,learn-regex,34896,68,32,36
vsouza,awesome-ios,34843,432,432,0
astaxie,build-web-application-with-golang,34639,277,170,107
ColorlibHQ,AdminLTE,34466,2158,2108,50
macrozheng,mall,34395,273,260,13
tesseract-ocr,tesseract,34372,1824,1547,277
gogs,gogs,34275,4541,3880,661
ageitgey,face_recognition,34116,985,508,477
MaximAbramchuck,awesome-interview-questions,34097,22,19,3
sveltejs,svelte,33673,2778,2380,398
TryGhost,Ghost,33650,5751,5696,55
k88hudson,git-flight-rules,33629,54,46,8
Alamofire,Alamofire,33488,2337,2316,21
prakhar1989,awesome-courses,33306,58,33,25
zeit,hyper,33250,2986,2230,756
bailicangdu,vue2-elm,33133,494,424,70
home-assistant,core,33121,14352,13383,969
soimort,you-get,32971,0,0,0
AFNetworking,AFNetworking,32748,3025,3008,17
shadowsocks,shadowsocks,32626,0,0,0
git,git,32528,0,0,0
tuvtran,project-based-learning,32396,26,15,11
Unitech,pm2,32358,3950,3096,854
trimstray,the-book-of-secret-knowledge,32298,37,36,1
apache,dubbo,32256,3416,2894,522
azl397985856,leetcode,32057,161,137,24
leonardomso,33-js-concepts,31799,26,24,2
JetBrains,kotlin,31744,0,0,0
gulpjs,gulp,31734,1801,1772,29
sdmg15,Best-websites-a-programmer-should-visit,31624,46,45,1
google,material-design-lite,31594,2144,1787,357
justjavac,awesome-wechat-weapp,31313,0,0,0
adobe,brackets,31306,9493,6999,2494
v2ray,v2ray-core,31264,2121,1908,213
syncthing,syncthing,31162,4062,3819,243
python,cpython,31054,0,0,0
etcd-io,etcd,31027,4855,4652,203
facebook,jest,30936,5361,4435,926
cdr,code-server,30779,1354,1254,100
karan,Projects,30742,56,29,27
prometheus,prometheus,30736,3340,3061,279
discourse,discourse,30667,0,0,0
PhilJay,MPAndroidChart,30659,4441,2779,1662
blueimp,jQuery-File-Upload,30652,3221,3176,45
mozilla,pdf.js,30624,6756,6164,592
deepfakes,faceswap,30427,598,585,13
hexojs,hexo,30387,3463,3332,131
godotengine,godot,30292,22740,16912,5828
BVLC,caffe,30255,4704,3866,838
Genymobile,scrcpy,30206,1268,883,385
tiimgreen,github-cheat-sheet,30122,43,40,3
sahat,hackathon-starter,30068,565,555,10
XX-net,XX-Net,30029,12451,4983,7468
alvarotrigo,fullPage.js,30009,3493,3336,157
mermaid-js,mermaid,29933,1009,839,170
Trinea,android-open-project,29897,80,68,12
521xueweihan,HelloGitHub,29740,1189,1172,17
slatedocs,slate,29737,547,506,41
immutable-js,immutable-js,29678,1165,1022,143
shadowsocks,shadowsocks-android,29639,2161,2145,16
pixijs,pixi.js,29479,4042,3972,70
styled-components,styled-components,29329,2093,1978,115
junegunn,fzf,29205,1596,1434,162
algorithm-visualizer,algorithm-visualizer,29190,73,61,12
koajs,koa,29142,773,750,23
bumptech,glide,29012,3707,3566,141
containous,traefik,28786,3722,3231,491
airbnb,lottie-android,28755,1129,1091,38
chinese-poetry,chinese-poetry,28741,120,71,49
